# Cases where this target is knowingly not ECMA-262. Regenerate with check.py --refresh.
# pattern	kind	input	ECMA-262	ours	note
#
# rejected  a valid ECMA-262 pattern java.util.regex cannot express: an error, not a wrong
#           answer, and `format: regex` reports it invalid too
# accepted  a pattern ECMA-262 rejects under `u` that this target takes, with the meaning
#           ECMA-262 gives it without `u`
# mismatch  both compile it and they match differently -- the only silent kind
^(?<$x>a)$	rejected				a group name java.util.regex rejects
^(\2)(a)$	rejected				forward reference, which java.util.regex cannot express
^\p{ASCII_Hex_Digit}$	rejected				binary property
^\p{AHex}$	rejected				binary property
^\p{Bidi_Control}$	rejected				binary property
^\p{Bidi_C}$	rejected				binary property
^\p{Bidi_Mirrored}$	rejected				binary property
^\p{Bidi_M}$	rejected				binary property
^\p{Case_Ignorable}$	rejected				binary property
^\p{CI}$	rejected				binary property
^\p{Cased}$	rejected				binary property
^\p{Changes_When_Casefolded}$	rejected				binary property
^\p{CWCF}$	rejected				binary property
^\p{Changes_When_Casemapped}$	rejected				binary property
^\p{CWCM}$	rejected				binary property
^\p{Changes_When_Lowercased}$	rejected				binary property
^\p{CWL}$	rejected				binary property
^\p{Changes_When_NFKC_Casefolded}$	rejected				binary property
^\p{CWKCF}$	rejected				binary property
^\p{Changes_When_Titlecased}$	rejected				binary property
^\p{CWT}$	rejected				binary property
^\p{Changes_When_Uppercased}$	rejected				binary property
^\p{CWU}$	rejected				binary property
^\p{Dash}$	rejected				binary property
^\p{Default_Ignorable_Code_Point}$	rejected				binary property
^\p{DI}$	rejected				binary property
^\p{Deprecated}$	rejected				binary property
^\p{Dep}$	rejected				binary property
^\p{Diacritic}$	rejected				binary property
^\p{Dia}$	rejected				binary property
^\p{Extender}$	rejected				binary property
^\p{Ext}$	rejected				binary property
^\p{Grapheme_Base}$	rejected				binary property
^\p{Gr_Base}$	rejected				binary property
^\p{Grapheme_Extend}$	rejected				binary property
^\p{Gr_Ext}$	rejected				binary property
^\p{Hex_Digit}$	rejected				binary property
^\p{Hex}$	rejected				binary property
^\p{IDS_Binary_Operator}$	rejected				binary property
^\p{IDSB}$	rejected				binary property
^\p{IDS_Trinary_Operator}$	rejected				binary property
^\p{IDST}$	rejected				binary property
^\p{ID_Continue}$	rejected				binary property
^\p{IDC}$	rejected				binary property
^\p{ID_Start}$	rejected				binary property
^\p{IDS}$	rejected				binary property
^\p{Logical_Order_Exception}$	rejected				binary property
^\p{LOE}$	rejected				binary property
^\p{Math}$	rejected				binary property
^\p{Pattern_Syntax}$	rejected				binary property
^\p{Pat_Syn}$	rejected				binary property
^\p{Pattern_White_Space}$	rejected				binary property
^\p{Pat_WS}$	rejected				binary property
^\p{Quotation_Mark}$	rejected				binary property
^\p{QMark}$	rejected				binary property
^\p{Radical}$	rejected				binary property
^\p{Regional_Indicator}$	rejected				binary property
^\p{RI}$	rejected				binary property
^\p{Sentence_Terminal}$	rejected				binary property
^\p{STerm}$	rejected				binary property
^\p{Soft_Dotted}$	rejected				binary property
^\p{SD}$	rejected				binary property
^\p{Terminal_Punctuation}$	rejected				binary property
^\p{Term}$	rejected				binary property
^\p{Unified_Ideograph}$	rejected				binary property
^\p{UIdeo}$	rejected				binary property
^\p{Variation_Selector}$	rejected				binary property
^\p{VS}$	rejected				binary property
^\p{XID_Continue}$	rejected				binary property
^\p{XIDC}$	rejected				binary property
^\p{XID_Start}$	rejected				binary property
^\p{XIDS}$	rejected				binary property
^\p{Script_Extensions=Greek}$	rejected				Script_Extensions=
^\p{Script_Extensions=Latin}$	rejected				Script_Extensions=
^\p{Script_Extensions=Han}$	rejected				Script_Extensions=
^\p{Script_Extensions=Cyrillic}$	rejected				Script_Extensions=
^\p{Script_Extensions=Arabic}$	rejected				Script_Extensions=
^\p{Script_Extensions=Hebrew}$	rejected				Script_Extensions=
^\p{Script_Extensions=Thai}$	rejected				Script_Extensions=
^\p{Script_Extensions=Common}$	rejected				Script_Extensions=
^\p{Script_Extensions=Inherited}$	rejected				Script_Extensions=
